Alpha,T1_Re10.000_M0.00_N9.0, , 
           -6,    -0.1021445, , 
        -5.75,    -0.1022434, , 
         -5.5,    -0.1023528, , 
        -5.25,    -0.1024635, , 
           -5,    -0.1025819, , 
        -4.75,    -0.1026997, , 
         -4.5,      -0.10281, , 
        -4.25,     -0.102925, , 
        -3.75,    -0.1031646, , 
         -3.5,    -0.1032978, , 
        -3.25,    -0.1034294, , 
           -3,     -0.103552, , 
        -2.75,    -0.1036848, , 
         -2.5,    -0.1038391, , 
        -2.25,     -0.103974, , 
           -2,    -0.1041212, , 
        -1.75,    -0.1042845, , 
         -1.5,    -0.1044229, , 
        -1.25,    -0.1046049, , 
           -1,    -0.1047486, , 
        -0.75,    -0.1049367, , 
         -0.5,    -0.1050955, , 
        -0.25,    -0.1052741, , 
            0,    -0.1054568, , 
         0.25,     -0.105608, , 
          0.5,     -0.105813, , 
         0.75,    -0.1059717, , 
            1,     -0.106151, , 
         1.25,    -0.1063323, , 
          1.5,      -0.10647, , 
         1.75,    -0.1066443, , 
            2,    -0.1067632, , 
         2.25,    -0.1068514, , 
          2.5,    -0.1069492, , 
         2.75,    -0.1070098, , 
            3,    -0.1070324, , 
         3.25,    -0.1070349, , 
          3.5,    -0.1069927, , 
         3.75,    -0.1068806, , 
            4,     -0.106771, , 
         4.25,    -0.1066102, , 
          4.5,    -0.1063614, , 
         4.75,    -0.1059192, , 
            5,    -0.1043855, , 
         5.25,    -0.1048887, , 
         5.75,    -0.1042154, , 
            6,    -0.1038705, , 
         6.25,    -0.1034883, , 
          6.5,    -0.1031825, , 
         6.75,    -0.1028334, , 
            7,    -0.1024333, , 
         7.25,    -0.1021205, , 
          7.5,    -0.1017955, , 
         7.75,    -0.1014338, , 
            8,    -0.1010471, , 
         8.25,     -0.100664, , 
          8.5,    -0.1003132, , 
         8.75,   -0.09986299, , 
            9,   -0.09943747, , 
         9.25,   -0.09893038, , 
          9.5,   -0.09841897, , 
         9.75,   -0.09782705, , 
           10,    -0.0972998, , 
        10.25,    -0.0966184, , 
         10.5,   -0.09588121, , 
        10.75,   -0.09520636, , 
           11,   -0.09439374, , 
        11.25,   -0.09337635, , 
         11.5,   -0.09232344, , 
        11.75,   -0.09108261, , 
           12,   -0.08942729, , 
        12.25,    -0.0876563, , 
         12.5,   -0.08585826, , 
        12.75,   -0.08413327, , 
           13,   -0.08254493, , 
        13.25,   -0.08099571, , 
         13.5,   -0.07938269, , 
        13.75,   -0.07773306, , 
           14,   -0.07598747, , 
        14.25,   -0.07420729, , 
         14.5,   -0.07240775, , 
        14.75,   -0.07067737, , 
           15,   -0.06902625, , 
        15.25,   -0.06749485, , 
         15.5,   -0.06598699, , 
        15.75,   -0.06446697, , 
           16,   -0.06291537, , 
        16.25,   -0.06139618, , 
         16.5,   -0.05989548, , 
        16.75,   -0.05837017, , 
           17,   -0.05687273, , 
        17.25,   -0.05545253, , 
         17.5,   -0.05413161, , 
        17.75,   -0.05286788, , 
           18,   -0.05171929, , 
        18.25,   -0.05068622, , 
         18.5,   -0.04982609, , 
        18.75,   -0.04904503, , 
           19,   -0.04834062, , 
        19.25,   -0.04774677, , 
         19.5,   -0.04724989, , 
        19.75,   -0.04684765, , 
           20,   -0.04649764, , 
        20.25,   -0.04625788, , 
         20.5,   -0.04614267, , 
        20.75,    -0.0461486, , 
           21,   -0.04624747, , 
        21.25,   -0.04641506, , 
         21.5,   -0.04671266, , 
        21.75,   -0.04713972, , 
           22,   -0.04768867, , 
        22.25,   -0.04832324, , 
         22.5,    -0.0491023, , 
        22.75,   -0.05004708, , 
           23,   -0.05114903, , 
        23.25,   -0.05237883, , 
         23.5,   -0.05372997, , 
        23.75,   -0.05526737, , 
           24,   -0.05698266, , 
        24.25,   -0.05887488, , 
         24.5,   -0.06092452, , 
        24.75,   -0.06312881, , 
           25,    -0.0655386, , 

