X,c_p_1,c_p_8,c_p_14
1,0.2195599,0.1788488,0.04051915
0.9974774,0.2097706,0.1743091,0.03994125
0.9929085,0.187955,0.1652758,0.03892279
0.9870521,0.161447,0.1529153,0.03768833
0.9801884,0.1322911,0.137413,0.03636412
0.9724844,0.1021633,0.1189317,0.03508716
0.9640559,0.0720748,0.09767747,0.03406503
0.9549902,0.04262363,0.07394174,0.03368778
0.9453566,0.01410475,0.04809498,0.03481762
0.9352124,-0.01337396,0.0205593,0.03933227
0.9246063,-0.0398099,-0.008229618,0.04036476
0.9135802,-0.06525267,-0.03785994,0.03229602
0.9021712,-0.08977349,-0.0679725,0.02044136
0.8904123,-0.1134491,-0.09827673,0.004716909
0.8783331,-0.136354,-0.1285543,-0.01484599
0.8659609,-0.1585572,-0.1586534,-0.0380872
0.8533205,-0.1801211,-0.1884784,-0.0647196
0.8404347,-0.201102,-0.2179774,-0.09434656
0.827325,-0.2215504,-0.2471303,-0.1264948
0.8140113,-0.2415114,-0.27594,-0.1606574
0.8005122,-0.261026,-0.304424,-0.1963381
0.7868454,-0.2801311,-0.3326094,-0.233089
0.7730275,-0.2988604,-0.3605289,-0.2705349
0.7590742,-0.3172447,-0.3882182,-0.3083843
0.7450005,-0.335312,-0.4157143,-0.3464277
0.7308209,-0.3530883,-0.4430546,-0.3845282
0.7165489,-0.3705976,-0.4702763,-0.4226085
0.7021977,-0.3878618,-0.4974158,-0.4606368
0.6877799,-0.4049015,-0.5245089,-0.4986148
0.6733075,-0.4217358,-0.551591,-0.5365676
0.6587922,-0.4383822,-0.5786967,-0.5745359
0.6442453,-0.4548573,-0.6058605,-0.6125707
0.6296777,-0.4711765,-0.6331169,-0.6507296
0.6150998,-0.487354,-0.6605009,-0.6890746
0.6005219,-0.5034032,-0.6880483,-0.7276707
0.5859539,-0.5193358,-0.7157963,-0.7665857
0.5714054,-0.5351621,-0.7437848,-0.8058905
0.5568856,-0.5508893,-0.7720565,-0.8456599
0.5424038,-0.5665193,-0.8006591,-0.8859736
0.5279688,-0.5820447,-0.8296468,-0.9269191
0.5135891,-0.5974396,-0.8590829,-0.9685942
0.4992733,-0.6126422,-0.8890438,-1.011112
0.4850295,-0.6275193,-0.9196252,-1.054606
0.4708659,-0.6417864,-0.9509517,-1.099245
0.4567901,-0.6549906,-0.9831955,-1.145251
0.44281,-0.6670713,-1.016602,-1.192925
0.4289331,-0.6809403,-1.051615,-1.242778
0.4151667,-0.7381228,-1.088745,-1.295427
0.4015181,-0.7565639,-1.131458,-1.354136
0.3879944,-0.7754833,-1.17687,-1.416262
0.3746025,-0.7919376,-1.215305,-1.472546
0.3613493,-0.8069734,-1.251557,-1.527141
0.3482415,-0.8202936,-1.28594,-1.580391
0.3352856,-0.8320193,-1.318912,-1.632772
0.3224882,-0.8422153,-1.350686,-1.684532
0.3098556,-0.8509433,-1.381418,-1.73586
0.2973941,-0.8582497,-1.411216,-1.786904
0.2851099,-0.86417,-1.440167,-1.837793
0.273009,-0.8687315,-1.468344,-1.888646
0.2610975,-0.8719554,-1.495814,-1.93958
0.2493812,-0.8738588,-1.522642,-1.990714
0.237866,-0.8744557,-1.54889,-2.042175
0.2265575,-0.8737581,-1.574625,-2.094097
0.2154615,-0.8717763,-1.599916,-2.146628
0.2045835,-0.8685195,-1.62484,-2.199931
