s,c_p_1,c_p_8,c_p_14
-3.999,0.0454,0.1729,0.287
-3.995,0.0782,0.2149,0.3299
-3.987,0.1163,0.2666,0.3876
-3.975,0.154,0.3212,0.4505
-3.96,0.1908,0.3765,0.5162
-3.94,0.2261,0.4314,0.5834
-3.916,0.2597,0.485,0.6512
-3.889,0.2913,0.537,0.7189
-3.858,0.3206,0.587,0.7858
-3.823,0.3475,0.6348,0.8514
-3.784,0.3719,0.6802,0.9153
-3.741,0.394,0.7233,0.9769
-3.695,0.4137,0.764,1.0361
-3.645,0.4314,0.8022,1.0924
-3.592,0.4472,0.838,1.1458
-3.535,0.4613,0.8715,1.1962
-3.474,0.4739,0.9028,1.2435
-3.41,0.4853,0.9319,1.2879
-3.343,0.4955,0.959,1.3294
-3.272,0.5047,0.9842,1.368
-3.198,0.5131,1.0076,1.4041
-3.121,0.5207,1.0293,1.4376
-3.041,0.5276,1.0494,1.4687
-2.958,0.5339,1.068,1.4975
-2.872,0.5397,1.0852,1.5243
-2.783,0.5449,1.1012,1.5491
-2.692,0.5498,1.1159,1.572
-2.597,0.5542,1.1295,1.5931
-2.501,0.5583,1.1421,1.6127
-2.401,0.562,1.1536,1.6307
-2.3,0.5654,1.1643,1.6472
-2.196,0.5685,1.174,1.6625
-2.09,0.5714,1.183,1.6765
-1.982,0.574,1.1912,1.6893
-1.871,0.5764,1.1987,1.701
-1.76,0.5785,1.2056,1.7117
-1.646,0.5805,1.2118,1.7215
-1.531,0.5823,1.2175,1.7303
-1.414,0.5839,1.2225,1.7382
-1.296,0.5853,1.2271,1.7454
-1.176,0.5866,1.2312,1.7517
-1.055,0.5877,1.2348,1.7574
-0.9337,0.5887,1.2379,1.7623
-0.811,0.5896,1.2406,1.7665
-0.6876,0.5903,1.2429,1.7701
-0.5635,0.5909,1.2448,1.7731
-0.4389,0.5914,1.2463,1.7754
-0.3138,0.5917,1.2475,1.7772
-0.1884,0.5919,1.2482,1.7784
-0.06282,0.5921,1.2486,1.7789
0.06282,0.5921,1.2486,1.7789
0.1884,0.5919,1.2482,1.7784
0.3138,0.5917,1.2475,1.7772
0.4389,0.5914,1.2463,1.7754
0.5635,0.5909,1.2448,1.7731
0.6876,0.5903,1.2429,1.7701
0.811,0.5896,1.2406,1.7665
0.9337,0.5887,1.2379,1.7623
1.055,0.5877,1.2348,1.7574
1.176,0.5866,1.2312,1.7517
1.296,0.5853,1.2271,1.7454
1.414,0.5839,1.2225,1.7382
1.531,0.5823,1.2175,1.7303
1.646,0.5805,1.2118,1.7215
1.76,0.5785,1.2056,1.7117
1.871,0.5764,1.1987,1.701
1.982,0.574,1.1912,1.6893
2.09,0.5714,1.183,1.6765
2.196,0.5685,1.174,1.6625
2.3,0.5654,1.1643,1.6472
2.401,0.562,1.1536,1.6307
2.501,0.5583,1.1421,1.6127
2.597,0.5542,1.1295,1.5931
2.692,0.5498,1.1159,1.572
2.783,0.5449,1.1012,1.5491
2.872,0.5397,1.0852,1.5243
2.958,0.5339,1.068,1.4975
3.041,0.5276,1.0494,1.4687
3.121,0.5207,1.0293,1.4376
3.198,0.5131,1.0076,1.4041
3.272,0.5047,0.9842,1.368
3.343,0.4955,0.959,1.3294
3.41,0.4853,0.9319,1.2879
3.474,0.4739,0.9028,1.2435
3.535,0.4613,0.8715,1.1962
3.592,0.4472,0.838,1.1458
3.645,0.4314,0.8022,1.0924
3.695,0.4137,0.764,1.0361
3.741,0.394,0.7233,0.9769
3.784,0.3719,0.6802,0.9153
3.823,0.3475,0.6348,0.8514
3.858,0.3206,0.587,0.7858
3.889,0.2913,0.537,0.7189
3.916,0.2597,0.485,0.6512
3.94,0.2261,0.4314,0.5834
3.96,0.1908,0.3765,0.5162
3.975,0.154,0.3212,0.4505
3.987,0.1163,0.2666,0.3876
3.995,0.0782,0.2149,0.3299
3.999,0.0454,0.1729,0.287
