XCP=,0.493302,,,,,,,,,
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp,,
Main WingCp Coefficients,,,,,,,,,,
Strip 1,,,,,,,,,,
0,1.00E+00,-4.00E+00,3.28E-05,0.132,0,0.991,1.97E-06,0.1565,,
1,9.98E-01,-4.00E+00,2.29E-04,0.132,0,0.991,5.89E-06,0.2622,,
2,9.95E-01,-4.00E+00,6.85E-04,0.131,0,0.991,9.78E-06,0.3418,,
3,9.89E-01,-4.00E+00,1.40E-03,0.129,0,0.992,1.36E-05,0.3737,,
4,9.82E-01,-4.00E+00,2.35E-03,0.128,0,0.992,1.74E-05,0.3957,,
5,9.73E-01,-4.00E+00,3.53E-03,0.126,0,0.992,2.12E-05,0.4318,,
6,9.62E-01,-4.00E+00,4.93E-03,0.123,0,0.992,2.48E-05,0.4522,,
7,9.49E-01,-4.00E+00,6.52E-03,0.12,0,0.993,2.84E-05,0.4315,,
8,9.34E-01,-4.00E+00,8.29E-03,0.117,0,0.993,3.18E-05,0.4104,,
9,9.18E-01,-4.00E+00,1.02E-02,0.113,0,0.994,3.51E-05,0.4208,,
10,9.00E-01,-4.00E+00,1.23E-02,0.109,0,0.994,3.82E-05,0.453,,
11,8.80E-01,-4.00E+00,1.44E-02,0.105,0,0.994,4.12E-05,0.4301,,
12,8.59E-01,-4.00E+00,1.66E-02,0.1,0,0.995,4.41E-05,0.3741,,
13,8.36E-01,-4.00E+00,1.88E-02,0.095,0,0.995,4.67E-05,0.3433,,
14,8.13E-01,-4.00E+00,2.11E-02,0.09,0,0.996,4.92E-05,0.3314,,
15,7.87E-01,-4.00E+00,2.33E-02,0.084,0,0.996,5.15E-05,0.3082,,
16,7.61E-01,-4.00E+00,2.55E-02,0.079,0,0.997,5.35E-05,0.2673,,
17,7.34E-01,-4.00E+00,2.76E-02,0.072,0,0.997,5.54E-05,0.2395,,
18,7.06E-01,-4.00E+00,2.96E-02,0.066,0,0.998,5.70E-05,0.2134,,
19,6.77E-01,-4.00E+00,3.15E-02,0.06,0,0.998,5.84E-05,0.1731,,
20,6.47E-01,-4.00E+00,3.32E-02,0.053,0,0.999,5.96E-05,0.1409,,
21,6.17E-01,-4.00E+00,3.48E-02,0.046,0,0.999,6.06E-05,0.1239,,
22,5.86E-01,-4.00E+00,3.61E-02,0.04,0,0.999,6.13E-05,0.0993,,
23,5.55E-01,-4.00E+00,3.73E-02,0.033,0,0.999,6.18E-05,0.072,,
24,5.24E-01,-4.00E+00,3.83E-02,0.026,0,1,6.20E-05,0.057,,
25,4.92E-01,-4.00E+00,3.90E-02,0.019,0,1,6.20E-05,0.0454,-3.999,0.0454
26,4.61E-01,-4.00E+00,3.96E-02,0.012,0,1,6.17E-05,0.0413,,
27,4.30E-01,-4.00E+00,3.99E-02,0.005,0,1,6.12E-05,0.0507,,
28,3.99E-01,-4.00E+00,4.00E-02,-0.005,0,1,6.05E-05,0.0689,,
29,3.68E-01,-4.00E+00,3.97E-02,-0.02,0,1,5.96E-05,0.0814,,
30,3.38E-01,-4.00E+00,3.90E-02,-0.035,0,0.999,5.84E-05,0.087,,
31,3.09E-01,-4.00E+00,3.79E-02,-0.049,0,0.999,5.70E-05,0.0882,,
32,2.80E-01,-4.00E+00,3.64E-02,-0.063,0,0.998,5.54E-05,0.085,,
33,2.52E-01,-4.00E+00,3.45E-02,-0.077,0,0.997,5.35E-05,0.077,,
34,2.26E-01,-4.00E+00,3.24E-02,-0.09,0,0.996,5.15E-05,0.0652,,
35,2.00E-01,-4.00E+00,3.00E-02,-0.103,0,0.995,4.93E-05,0.0481,,
36,1.75E-01,-4.00E+00,2.74E-02,-0.115,0,0.993,4.68E-05,0.0266,,
37,1.52E-01,-4.00E+00,2.46E-02,-0.125,0,0.992,4.42E-05,0.0022,,
38,1.30E-01,-4.00E+00,2.18E-02,-0.136,0,0.991,4.14E-05,-0.027,,
39,1.10E-01,-4.00E+00,1.89E-02,-0.146,0,0.989,3.84E-05,-0.0579,,
40,9.11E-02,-4.00E+00,1.61E-02,-0.155,0,0.988,3.53E-05,-0.0903,,
41,7.38E-02,-4.00E+00,1.34E-02,-0.163,0,0.987,3.20E-05,-0.1254,,
42,5.83E-02,-4.00E+00,1.08E-02,-0.17,0,0.985,2.86E-05,-0.16,,
43,4.45E-02,-4.00E+00,8.39E-03,-0.176,0,0.984,2.50E-05,-0.1957,,
44,3.25E-02,-4.00E+00,6.22E-03,-0.182,0,0.983,2.14E-05,-0.2328,,
45,2.23E-02,-4.00E+00,4.33E-03,-0.187,0,0.982,1.76E-05,-0.2731,,
46,1.40E-02,-4.00E+00,2.75E-03,-0.19,0,0.982,1.38E-05,-0.328,,
47,7.63E-03,-4.00E+00,1.51E-03,-0.193,0,0.981,9.89E-06,-0.43,,
48,3.20E-03,-4.00E+00,6.38E-04,-0.195,0,0.981,5.95E-06,-0.7024,,
49,7.40E-04,-4.00E+00,1.48E-04,-0.196,0,0.981,1.99E-06,-1.973,,
Strip 2,,,,,,,,,,
50,1.00E+00,-4.00E+00,3.28E-05,0.132,0,0.991,5.89E-06,0.0981,,
51,9.98E-01,-4.00E+00,2.29E-04,0.132,0,0.991,1.77E-05,0.1687,,
52,9.95E-01,-4.00E+00,6.85E-04,0.131,0,0.991,2.93E-05,0.2382,,
53,9.89E-01,-4.00E+00,1.40E-03,0.129,0,0.992,4.09E-05,0.2917,,
54,9.82E-01,-4.00E+00,2.35E-03,0.128,0,0.992,5.23E-05,0.3283,,
55,9.73E-01,-4.00E+00,3.53E-03,0.126,0,0.992,6.35E-05,0.3552,,
56,9.62E-01,-4.00E+00,4.93E-03,0.123,0,0.992,7.44E-05,0.3708,,
57,9.49E-01,-4.00E+00,6.52E-03,0.12,0,0.993,8.50E-05,0.3723,,
58,9.34E-01,-4.00E+00,8.29E-03,0.117,0,0.993,9.53E-05,0.3656,,
59,9.18E-01,-4.00E+00,1.02E-02,0.113,0,0.994,1.05E-04,0.3608,,
60,9.00E-01,-4.00E+00,1.23E-02,0.109,0,0.994,1.15E-04,0.3612,,
61,8.80E-01,-4.00E+00,1.44E-02,0.105,0,0.994,1.24E-04,0.3518,,
62,8.59E-01,-4.00E+00,1.66E-02,0.1,0,0.995,1.32E-04,0.33,,
63,8.36E-01,-4.00E+00,1.88E-02,0.095,0,0.995,1.40E-04,0.3091,,
64,8.13E-01,-4.00E+00,2.11E-02,0.09,0,0.996,1.48E-04,0.2921,,
65,7.87E-01,-4.00E+00,2.33E-02,0.084,0,0.996,1.54E-04,0.273,,
66,7.61E-01,-4.00E+00,2.55E-02,0.079,0,0.997,1.61E-04,0.2484,,
67,7.34E-01,-4.00E+00,2.76E-02,0.072,0,0.997,1.66E-04,0.2253,,
68,7.06E-01,-4.00E+00,2.96E-02,0.066,0,0.998,1.71E-04,0.2027,,
69,6.77E-01,-4.00E+00,3.15E-02,0.06,0,0.998,1.75E-04,0.176,,
70,6.47E-01,-4.00E+00,3.32E-02,0.053,0,0.999,1.79E-04,0.1507,,
71,6.17E-01,-4.00E+00,3.48E-02,0.046,0,0.999,1.82E-04,0.1303,,
