xflr5 v6.58

Plane Name
T1-146.0 m/s-VLM1-Inviscid
QInf  =,  146.000000 ,m/s
Alpha = ,  14.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.431618
Cy    = ,  -0.000000
Cd=,   0.082538,ICd=,    0.082538,PCd=,    0.000000
Cl   = ,2.24362e-17
Cm   =,   -0.447659
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.316232, YCP=,    0.000000, ZCP=,    0.024205 
XNP=,    0.000000
Bending =, 128965.769943

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -3.9990,   1.0000, -5.859, 0.246935, 0.000000, 0.023767,-0.082772,-0.021038, 0.0000, 0.0000, 0.3301, 0.0000
   -3.9951,   1.0000, -6.211, 0.291185, 0.000000, 0.055911,-0.106541,-0.033745, 0.0000, 0.0000, 0.3607, 0.0252
   -3.9872,   1.0000, -6.473, 0.339746, 0.000000, 0.059667,-0.119428,-0.034492, 0.0000, 0.0000, 0.3461, 0.2540
   -3.9754,   1.0000, -6.623, 0.395041, 0.000000, 0.063382,-0.134838,-0.036078, 0.0000, 0.0000, 0.3358, 1.1162
   -3.9596,   1.0000, -6.696, 0.453857, 0.000000, 0.067140,-0.151852,-0.038388, 0.0000, 0.0000, 0.3289, 3.3894
   -3.9400,   1.0000, -6.711, 0.514341, 0.000000, 0.071306,-0.169829,-0.041244, 0.0000, 0.0000, 0.3245, 8.2978
   -3.9164,   1.0000, -6.682, 0.575294, 0.000000, 0.075870,-0.188307,-0.044483, 0.0000, 0.0000, 0.3215,17.6080
   -3.8890,   1.0000, -6.619, 0.635881, 0.000000, 0.080570,-0.206943,-0.047973, 0.0000, 0.0000, 0.3196,33.7157
   -3.8578,   1.0000, -6.529, 0.695494, 0.000000, 0.085126,-0.225475,-0.051602, 0.0000, 0.0000, 0.3183,59.7221
   -3.8227,   1.0000, -6.415, 0.753684, 0.000000, 0.089331,-0.243705,-0.055284, 0.0000, 0.0000, 0.3174,99.4980
   -3.7839,   1.0000, -6.283, 0.810114, 0.000000, 0.093051,-0.261477,-0.058949, 0.0000, 0.0000, 0.3168,157.7334
   -3.7413,   1.0000, -6.136, 0.864536, 0.000000, 0.096215,-0.278676,-0.062542, 0.0000, 0.0000, 0.3164,239.9733
   -3.6951,   1.0000, -5.979, 0.916771, 0.000000, 0.098794,-0.295216,-0.066023, 0.0000, 0.0000, 0.3161,352.6391
   -3.6452,   1.0000, -5.813, 0.966695, 0.000000, 0.100787,-0.311036,-0.069362, 0.0000, 0.0000, 0.3158,503.0352
