X,c_p_8
0.9998,-0.0499
0.9983,-0.087
0.9948,-0.1279
0.9894,-0.169
0.9821,-0.21
0.9729,-0.2516
0.9618,-0.2917
0.9488,-0.332
0.9342,-0.372
0.9178,-0.4116
0.8997,-0.45
0.8801,-0.4893
0.8589,-0.5273
0.8364,-0.5645
0.8125,-0.6016
0.7874,-0.6383
0.7612,-0.6746
0.7339,-0.7105
0.7057,-0.746
0.6767,-0.7813
0.647,-0.8165
0.6167,-0.8518
0.5859,-0.8876
0.5548,-0.9243
0.5235,-0.9628
0.4922,-1.0027
0.4608,-1.0468
0.4296,-1.1019
0.3986,-1.1645
0.3681,-1.2101
0.3381,-1.2486
0.3087,-1.2848
0.2801,-1.3177
0.2524,-1.3491
0.2256,-1.3831
0.1999,-1.4179
0.1754,-1.4568
0.1522,-1.5041
0.1303,-1.5585
0.1099,-1.6275
0.0911,-1.7165
0.0738,-1.8305
0.0583,-1.9849
0.0445,-2.1974
0.0325,-2.5002
0.0223,-2.9565
0.014,-3.6961
0.0076,-5.0545
0.0032,-8.2109
0.0007,-19.5952
