xflr5 v6.58

Plane Name
T1-146.0 m/s-VLM1-Inviscid
QInf  =,  146.000000 ,m/s
Alpha = ,  14.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.455165
Cy    = ,   0.000000
Cd=,   0.082528,ICd=,    0.082528,PCd=,    0.000000
Cl   = ,-4.33681e-17
Cm   =,   -0.453794
ICn=,    0.000000,PCn=,    0.000000
XCP=,    0.315363, YCP=,   -0.000000, ZCP=,    0.024203 
XNP=,    0.000000
Bending =, 113670.681303

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -3.9754,   1.0000, -6.826, 0.460739, 0.000000, 0.067329,-0.151993,-0.036808, 0.0000, 0.0000, 0.3242, 0.0000
   -3.8775,   1.0000, -6.625, 0.725104, 0.000000, 0.086949,-0.232739,-0.051463, 0.0000, 0.0000, 0.3151,29.1262
   -3.6841,   1.0000, -5.863, 0.981697, 0.000000, 0.101791,-0.314448,-0.069024, 0.0000, 0.0000, 0.3143,356.0762
   -3.4000,   1.0000, -4.983, 1.187172, 0.000000, 0.103918,-0.379672,-0.082879, 0.0000, 0.0000, 0.3138,1714.8640
   -3.0322,   1.0000, -4.178, 1.339785, 0.000000, 0.098037,-0.427194,-0.092248, 0.0000, 0.0000, 0.3129,5351.9920
   -2.5898,   1.0000, -3.527, 1.447974, 0.000000, 0.089332,-0.460058,-0.098065, 0.0000, 0.0000, 0.3118,12896.4347
   -2.0836,   1.0000, -3.044, 1.521991, 0.000000, 0.080971,-0.482033,-0.101535, 0.0000, 0.0000, 0.3108,26116.1429
   -1.5260,   1.0000, -2.710, 1.570485, 0.000000, 0.074348,-0.496173,-0.103552, 0.0000, 0.0000, 0.3100,46631.0163
   -0.9309,   1.0000, -2.502, 1.599644, 0.000000, 0.069902,-0.504570,-0.104659, 0.0000, 0.0000, 0.3095,75635.8753
   -0.3129,   1.0000, -2.402, 1.613314, 0.000000, 0.067693,-0.508477,-0.105149, 0.0000, 0.0000, 0.3092,113670.6813
    0.3129,   1.0000, -2.402, 1.613314, 0.000000, 0.067693,-0.508477,-0.105149, 0.0000, 0.0000, 0.3092,113670.6813
    0.9309,   1.0000, -2.502, 1.599644, 0.000000, 0.069902,-0.504570,-0.104659, 0.0000, 0.0000, 0.3095,75635.8753
    1.5260,   1.0000, -2.710, 1.570485, 0.000000, 0.074348,-0.496173,-0.103552, 0.0000, 0.0000, 0.3100,46631.0163
    2.0836,   1.0000, -3.044, 1.521991, 0.000000, 0.080971,-0.482033,-0.101535, 0.0000, 0.0000, 0.3108,26116.1429
    2.5898,   1.0000, -3.527, 1.447974, 0.000000, 0.089332,-0.460058,-0.098065, 0.0000, 0.0000, 0.3118,12896.4347
    3.0322,   1.0000, -4.178, 1.339785, 0.000000, 0.098037,-0.427194,-0.092248, 0.0000, 0.0000, 0.3129,5351.9920
    3.4000,   1.0000, -4.983, 1.187172, 0.000000, 0.103918,-0.379672,-0.082879, 0.0000, 0.0000, 0.3138,1714.8640
    3.6841,   1.0000, -5.863, 0.981697, 0.000000, 0.101791,-0.314448,-0.069024, 0.0000, 0.0000, 0.3143,356.0762
    3.8775,   1.0000, -6.625, 0.725104, 0.000000, 0.086949,-0.232739,-0.051463, 0.0000, 0.0000, 0.3151,29.1262
    3.9754,   1.0000, -6.826, 0.460739, 0.000000, 0.067329,-0.151993,-0.036808, 0.0000, 0.0000, 0.3242, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
   0,   9.999e-01,  -3.975e+00,   8.207e-06,       0.132,       0.000,       0.991,   1.226e-05,      0.0286
   1,   9.996e-01,  -3.975e+00,   5.744e-05,       0.132,       0.000,       0.991,   3.676e-05,      0.0502
   2,   9.987e-01,  -3.975e+00,   1.722e-04,       0.132,       0.000,       0.991,   6.122e-05,      0.0742
   3,   9.974e-01,  -3.975e+00,   3.522e-04,       0.131,       0.000,       0.991,   8.562e-05,      0.0961
   4,   9.955e-01,  -3.975e+00,   5.966e-04,       0.131,       0.000,       0.991,   1.099e-04,      0.1186
   5,   9.932e-01,  -3.975e+00,   9.050e-04,       0.130,       0.000,       0.991,   1.341e-04,      0.1381
   6,   9.903e-01,  -3.975e+00,   1.276e-03,       0.130,       0.000,       0.992,   1.582e-04,      0.1578
   7,   9.870e-01,  -3.975e+00,   1.708e-03,       0.129,       0.000,       0.992,   1.821e-04,      0.1734
   8,   9.833e-01,  -3.975e+00,   2.200e-03,       0.129,       0.000,       0.992,   2.058e-04,      0.1903
   9,   9.790e-01,  -3.975e+00,   2.751e-03,       0.127,       0.000,       0.992,   2.293e-04,      0.2017
  10,   9.743e-01,  -3.975e+00,   3.357e-03,       0.126,       0.000,       0.992,   2.526e-04,      0.2131
  11,   9.691e-01,  -3.975e+00,   4.018e-03,       0.125,       0.000,       0.992,   2.756e-04,      0.2232
  12,   9.634e-01,  -3.975e+00,   4.731e-03,       0.124,       0.000,       0.992,   2.983e-04,      0.2291
  13,   9.573e-01,  -3.975e+00,   5.492e-03,       0.123,       0.000,       0.992,   3.207e-04,      0.2351
  14,   9.507e-01,  -3.975e+00,   6.302e-03,       0.121,       0.000,       0.993,   3.428e-04,      0.2406
  15,   9.437e-01,  -3.975e+00,   7.156e-03,       0.119,       0.000,       0.993,   3.646e-04,      0.2422
  16,   9.362e-01,  -3.975e+00,   8.050e-03,       0.118,       0.000,       0.993,   3.859e-04,      0.2436
  17,   9.283e-01,  -3.975e+00,   8.982e-03,       0.116,       0.000,       0.993,   4.069e-04,      0.2448
  18,   9.200e-01,  -3.975e+00,   9.951e-03,       0.115,       0.000,       0.993,   4.275e-04,      0.2461
  19,   9.113e-01,  -3.975e+00,   1.095e-02,       0.112,       0.000,       0.994,   4.476e-04,      0.2445
  20,   9.022e-01,  -3.975e+00,   1.198e-02,       0.110,       0.000,       0.994,   4.673e-04,      0.2431
  21,   8.926e-01,  -3.975e+00,   1.303e-02,       0.108,       0.000,       0.994,   4.865e-04,      0.2418
  22,   8.827e-01,  -3.975e+00,   1.410e-02,       0.106,       0.000,       0.994,   5.052e-04,      0.2405
  23,   8.724e-01,  -3.975e+00,   1.520e-02,       0.104,       0.000,       0.995,   5.234e-04,      0.2393
  24,   8.618e-01,  -3.975e+00,   1.631e-02,       0.102,       0.000,       0.995,   5.411e-04,      0.2380
  25,   8.507e-01,  -3.975e+00,   1.742e-02,       0.099,       0.000,       0.995,   5.582e-04,      0.2356
  26,   8.394e-01,  -3.975e+00,   1.855e-02,       0.096,       0.000,       0.995,   5.748e-04,      0.2336
  27,   8.277e-01,  -3.975e+00,   1.967e-02,       0.094,       0.000,       0.996,   5.908e-04,      0.2318
  28,   8.156e-01,  -3.975e+00,   2.080e-02,       0.091,       0.000,       0.996,   6.062e-04,      0.2302
  29,   8.033e-01,  -3.975e+00,   2.192e-02,       0.089,       0.000,       0.996,   6.210e-04,      0.2287
  30,   7.907e-01,  -3.975e+00,   2.303e-02,       0.086,       0.000,       0.996,   6.352e-04,      0.2273
