Alpha,T1_Re10.000_M0.00_N9.0, , 
           -6,    -0.2075799, , 
        -5.75,    -0.1789187, , 
         -5.5,    -0.1501658, , 
        -5.25,    -0.1214326, , 
           -5,    -0.0926654, , 
        -4.75,   -0.06386665, , 
         -4.5,   -0.03515211, , 
        -4.25,  -0.006386013, , 
        -3.75,    0.05115854, , 
         -3.5,    0.07998642, , 
        -3.25,     0.1088232, , 
           -3,     0.1375859, , 
        -2.75,     0.1663857, , 
         -2.5,     0.1953136, , 
        -2.25,     0.2241227, , 
           -2,     0.2529761, , 
        -1.75,     0.2819253, , 
         -1.5,     0.3107061, , 
        -1.25,      0.339734, , 
           -1,     0.3685281, , 
        -0.75,     0.3975517, , 
         -0.5,     0.4263853, , 
        -0.25,     0.4553414, , 
            0,     0.4842704, , 
         0.25,     0.5130288, , 
          0.5,     0.5420567, , 
         0.75,     0.5708179, , 
            1,     0.5996633, , 
         1.25,     0.6284977, , 
          1.5,     0.6570686, , 
         1.75,     0.6858258, , 
            2,     0.7142309, , 
         2.25,     0.7424167, , 
          2.5,     0.7706111, , 
         2.75,     0.7985046, , 
            3,     0.8259673, , 
         3.25,     0.8533609, , 
          3.5,     0.8805647, , 
         3.75,     0.9073634, , 
            4,     0.9341854, , 
         4.25,     0.9606817, , 
          4.5,     0.9867143, , 
         4.75,      1.011942, , 
            5,      1.032925, , 
         5.25,      1.062258, , 
         5.75,      1.113581, , 
            6,      1.139162, , 
         6.25,      1.164508, , 
          6.5,      1.190263, , 
         6.75,       1.21575, , 
            7,       1.24092, , 
         7.25,      1.266555, , 
          7.5,      1.292088, , 
         7.75,       1.31738, , 
            8,      1.342499, , 
         8.25,        1.3676, , 
          8.5,      1.392846, , 
         8.75,      1.417503, , 
            9,      1.442247, , 
         9.25,      1.466504, , 
          9.5,      1.490685, , 
         9.75,      1.514387, , 
           10,      1.538396, , 
        10.25,      1.561492, , 
         10.5,      1.584247, , 
        10.75,      1.607291, , 
           11,      1.629505, , 
        11.25,      1.650524, , 
         11.5,      1.671367, , 
        11.75,      1.691281, , 
           12,      1.709043, , 
        12.25,      1.725883, , 
         12.5,      1.742211, , 
        12.75,      1.758621, , 
           13,      1.775502, , 
        13.25,      1.792273, , 
         13.5,      1.808324, , 
        13.75,      1.823729, , 
           14,      1.838097, , 
        14.25,      1.851692, , 
         14.5,      1.864664, , 
        14.75,      1.877504, , 
           15,      1.890338, , 
        15.25,      1.903494, , 
         15.5,      1.916138, , 
        15.75,      1.927968, , 
           16,      1.938801, , 
        16.25,      1.948936, , 
         16.5,      1.958174, , 
        16.75,      1.966126, , 
           17,      1.973048, , 
        17.25,      1.979265, , 
         17.5,      1.984942, , 
        17.75,      1.989715, , 
           18,      1.993859, , 
        18.25,      1.997352, , 
         18.5,      2.001579, , 
        18.75,      2.005231, , 
           19,      2.008025, , 
        19.25,      2.010195, , 
         19.5,      2.011578, , 
        19.75,      2.012139, , 
           20,      2.011472, , 
        20.25,      2.009776, , 
         20.5,        2.0069, , 
        20.75,      2.002911, , 
           21,      1.997891, , 
        21.25,      1.991717, , 
         21.5,      1.984857, , 
        21.75,      1.977293, , 
           22,      1.968793, , 
        22.25,      1.959084, , 
         22.5,      1.948578, , 
        22.75,      1.937325, , 
           23,      1.925575, , 
        23.25,      1.913213, , 
         23.5,       1.90029, , 
        23.75,      1.887465, , 
           24,      1.874628, , 
        24.25,       1.86179, , 
         24.5,      1.848756, , 
        24.75,      1.835547, , 
           25,      1.822701, , 

