X,NACA 4412-Re=   1e+07-Alpha= 1.00-NCrit=  9.0-XTrTop=0.414-XtrBot=0.214, , 
            1,     0.2195599, , 
    0.9974774,     0.2097706, , 
    0.9929085,      0.187955, , 
    0.9870521,      0.161447, , 
    0.9801884,     0.1322911, , 
    0.9724844,     0.1021633, , 
    0.9640559,     0.0720748, , 
    0.9549902,    0.04262363, , 
    0.9453566,    0.01410475, , 
    0.9352124,   -0.01337396, , 
    0.9246063,    -0.0398099, , 
    0.9135802,   -0.06525267, , 
    0.9021712,   -0.08977349, , 
    0.8904123,    -0.1134491, , 
    0.8783331,     -0.136354, , 
    0.8659609,    -0.1585572, , 
    0.8533205,    -0.1801211, , 
    0.8404347,     -0.201102, , 
     0.827325,    -0.2215504, , 
    0.8140113,    -0.2415114, , 
    0.8005122,     -0.261026, , 
    0.7868454,    -0.2801311, , 
    0.7730275,    -0.2988604, , 
    0.7590742,    -0.3172447, , 
    0.7450005,     -0.335312, , 
    0.7308209,    -0.3530883, , 
    0.7165489,    -0.3705976, , 
    0.7021977,    -0.3878618, , 
    0.6877799,    -0.4049015, , 
    0.6733075,    -0.4217358, , 
    0.6587922,    -0.4383822, , 
    0.6442453,    -0.4548573, , 
    0.6296777,    -0.4711765, , 
    0.6150998,     -0.487354, , 
    0.6005219,    -0.5034032, , 
    0.5859539,    -0.5193358, , 
    0.5714054,    -0.5351621, , 
    0.5568856,    -0.5508893, , 
    0.5424038,    -0.5665193, , 
    0.5279688,    -0.5820447, , 
    0.5135891,    -0.5974396, , 
    0.4992733,    -0.6126422, , 
    0.4850295,    -0.6275193, , 
    0.4708659,    -0.6417864, , 
    0.4567901,    -0.6549906, , 
      0.44281,    -0.6670713, , 
    0.4289331,    -0.6809403, , 
    0.4151667,    -0.7381228, , 
    0.4015181,    -0.7565639, , 
    0.3879944,    -0.7754833, , 
    0.3746025,    -0.7919376, , 
    0.3613493,    -0.8069734, , 
    0.3482415,    -0.8202936, , 
    0.3352856,    -0.8320193, , 
    0.3224882,    -0.8422153, , 
    0.3098556,    -0.8509433, , 
    0.2973941,    -0.8582497, , 
    0.2851099,      -0.86417, , 
     0.273009,    -0.8687315, , 
    0.2610975,    -0.8719554, , 
    0.2493812,    -0.8738588, , 
     0.237866,    -0.8744557, , 
    0.2265575,    -0.8737581, , 
    0.2154615,    -0.8717763, , 
    0.2045835,    -0.8685195, , 
     0.193929,    -0.8639958, , 
    0.1835034,    -0.8582123, , 
    0.1733122,    -0.8511746, , 
    0.1633605,     -0.842887, , 
    0.1536536,    -0.8333514, , 
    0.1441967,    -0.8225669, , 
    0.1349949,    -0.8105288, , 
    0.1260533,    -0.7972271, , 
    0.1173767,    -0.7826455, , 
    0.1089702,     -0.766759, , 
    0.1008386,    -0.7495321, , 
   0.09298667,     -0.730915, , 
    0.0854193,    -0.7108411, , 
   0.07814115,    -0.6892211, , 
    0.0711569,    -0.6659382, , 
   0.06447116,    -0.6408403, , 
   0.05808853,    -0.6137302, , 
   0.05201352,    -0.5843543, , 
   0.04625063,    -0.5523862, , 
   0.04080431,    -0.5174076, , 
   0.03567895,    -0.4788823, , 
   0.03087892,    -0.4361242, , 
   0.02640854,    -0.3882567, , 
   0.02227211,    -0.3341653, , 
   0.01847385,    -0.2724432, , 
   0.01501799,    -0.2013428, , 
   0.01190869,    -0.1187421, , 
  0.009150091,   -0.02223363, , 
  0.006746299,    0.09075718, , 
  0.004701381,     0.2221005, , 
   0.00301937,     0.3722298, , 
  0.001704272,     0.5370502, , 
 0.0007600553,     0.7059741, , 
 0.0001906617,     0.8581579, , 
            0,     0.9652482, , 
 0.0001906617,     0.9996765, , 
 0.0007600553,     0.9503326, , 
  0.001704272,     0.8296427, , 
   0.00301937,     0.6689316, , 
  0.004701381,     0.5011573, , 
  0.006746299,     0.3491381, , 
  0.009150091,     0.2224162, , 
   0.01190869,     0.1224773, , 
   0.01501799,    0.04620126, , 
   0.01847385,   -0.01053616, , 
   0.02227211,   -0.05188574, , 
   0.02640854,   -0.08132647, , 
   0.03087892,    -0.1016458, , 
   0.03567895,    -0.1149973, , 
   0.04080431,    -0.1230228, , 
   0.04625063,    -0.1269675, , 
   0.05201352,    -0.1277757, , 
   0.05808853,     -0.126166, , 
   0.06447116,     -0.122688, , 
    0.0711569,    -0.1177653, , 
   0.07814115,     -0.111726, , 
    0.0854193,    -0.1048272, , 
   0.09298667,   -0.09727151, , 
    0.1008386,   -0.08922027, , 
    0.1089702,   -0.08080351, , 
    0.1173767,   -0.07212721, , 
    0.1260533,    -0.0632792, , 
    0.1349949,   -0.05433387, , 
    0.1441967,   -0.04535635, , 
    0.1536536,   -0.03640688, , 
    0.1633605,   -0.02754661, , 
    0.1733122,   -0.01884803, , 
    0.1835034,   -0.01042153, , 
     0.193929,  -0.002486867, , 
    0.2045835,    0.00421893, , 
    0.2154615,   0.009625066, , 
    0.2265575,    0.03450533, , 
     0.237866,     0.0413182, , 
    0.2493812,    0.04609585, , 
    0.2610975,    0.05122552, , 
     0.273009,    0.05683674, , 
    0.2851099,    0.06258275, , 
    0.2973941,    0.06821242, , 
    0.3098556,    0.07357143, , 
    0.3224882,    0.07854997, , 
    0.3352856,     0.0830532, , 
    0.3482415,    0.08697871, , 
    0.3613493,    0.09020073, , 
    0.3746025,    0.09247769, , 
    0.3879944,    0.09364933, , 
    0.4015181,    0.09108377, , 
    0.4151667,    0.08936204, , 
    0.4289331,    0.09007651, , 
      0.44281,    0.09150548, , 
    0.4567901,    0.09345371, , 
    0.4708659,    0.09572477, , 
    0.4850295,    0.09821241, , 
    0.4992733,     0.1008413, , 
    0.5135891,     0.1035571, , 
    0.5279688,     0.1063189, , 
    0.5424038,     0.1090947, , 
    0.5568856,     0.1118595, , 
    0.5714054,     0.1145934, , 
    0.5859539,     0.1172805, , 
    0.6005219,     0.1199082, , 
    0.6150998,      0.122467, , 
    0.6296777,     0.1249496, , 
    0.6442453,     0.1273511, , 
    0.6587922,     0.1296684, , 
    0.6733075,     0.1319006, , 
    0.6877799,     0.1340481, , 
    0.7021977,     0.1361136, , 
    0.7165489,     0.1381011, , 
    0.7308209,     0.1400165, , 
    0.7450005,     0.1418673, , 
    0.7590742,     0.1436631, , 
    0.7730275,     0.1454152, , 
    0.7868454,     0.1471368, , 
    0.8005122,     0.1488435, , 
    0.8140113,     0.1505531, , 
     0.827325,     0.1522863, , 
    0.8404347,     0.1540665, , 
    0.8533205,     0.1559207, , 
    0.8659609,     0.1578796, , 
    0.8783331,     0.1599787, , 
    0.8904123,      0.162259, , 
    0.9021712,      0.164768, , 
    0.9135802,      0.167561, , 
    0.9246063,     0.1707031, , 
    0.9352124,     0.1742709, , 
    0.9453566,     0.1783543, , 
    0.9549902,     0.1830583, , 
    0.9640559,     0.1884999, , 
    0.9724844,     0.1948001, , 
    0.9801884,     0.2020366, , 
    0.9870521,     0.2102073, , 
    0.9929085,     0.2185608, , 
    0.9974774,     0.2268676, , 
            1,     0.2195599, , 

