X,NACA 4412-Re=   1e+07-Alpha=14.00-NCrit=  9.0-XTrTop=0.008-XtrBot=1.000, , 
            1,    0.04051915, , 
    0.9974774,    0.03994125, , 
    0.9929085,    0.03892279, , 
    0.9870521,    0.03768833, , 
    0.9801884,    0.03636412, , 
    0.9724844,    0.03508716, , 
    0.9640559,    0.03406503, , 
    0.9549902,    0.03368778, , 
    0.9453566,    0.03481762, , 
    0.9352124,    0.03933227, , 
    0.9246063,    0.04036476, , 
    0.9135802,    0.03229602, , 
    0.9021712,    0.02044136, , 
    0.8904123,   0.004716909, , 
    0.8783331,   -0.01484599, , 
    0.8659609,    -0.0380872, , 
    0.8533205,    -0.0647196, , 
    0.8404347,   -0.09434656, , 
     0.827325,    -0.1264948, , 
    0.8140113,    -0.1606574, , 
    0.8005122,    -0.1963381, , 
    0.7868454,     -0.233089, , 
    0.7730275,    -0.2705349, , 
    0.7590742,    -0.3083843, , 
    0.7450005,    -0.3464277, , 
    0.7308209,    -0.3845282, , 
    0.7165489,    -0.4226085, , 
    0.7021977,    -0.4606368, , 
    0.6877799,    -0.4986148, , 
    0.6733075,    -0.5365676, , 
    0.6587922,    -0.5745359, , 
    0.6442453,    -0.6125707, , 
    0.6296777,    -0.6507296, , 
    0.6150998,    -0.6890746, , 
    0.6005219,    -0.7276707, , 
    0.5859539,    -0.7665857, , 
    0.5714054,    -0.8058905, , 
    0.5568856,    -0.8456599, , 
    0.5424038,    -0.8859736, , 
    0.5279688,    -0.9269191, , 
    0.5135891,    -0.9685942, , 
    0.4992733,     -1.011112, , 
    0.4850295,     -1.054606, , 
    0.4708659,     -1.099245, , 
    0.4567901,     -1.145251, , 
      0.44281,     -1.192925, , 
    0.4289331,     -1.242778, , 
    0.4151667,     -1.295427, , 
    0.4015181,     -1.354136, , 
    0.3879944,     -1.416262, , 
    0.3746025,     -1.472546, , 
    0.3613493,     -1.527141, , 
    0.3482415,     -1.580391, , 
    0.3352856,     -1.632772, , 
    0.3224882,     -1.684532, , 
    0.3098556,      -1.73586, , 
    0.2973941,     -1.786904, , 
    0.2851099,     -1.837793, , 
     0.273009,     -1.888646, , 
    0.2610975,      -1.93958, , 
    0.2493812,     -1.990714, , 
     0.237866,     -2.042175, , 
    0.2265575,     -2.094097, , 
    0.2154615,     -2.146628, , 
    0.2045835,     -2.199931, , 
     0.193929,     -2.254188, , 
    0.1835034,     -2.309603, , 
    0.1733122,     -2.366403, , 
    0.1633605,     -2.424845, , 
    0.1536536,      -2.48522, , 
    0.1441967,     -2.547853, , 
    0.1349949,     -2.613115, , 
    0.1260533,     -2.681428, , 
    0.1173767,     -2.753268, , 
    0.1089702,     -2.829181, , 
    0.1008386,     -2.909787, , 
   0.09298667,     -2.995798, , 
    0.0854193,     -3.088029, , 
   0.07814115,     -3.187418, , 
    0.0711569,     -3.295048, , 
   0.06447116,     -3.412164, , 
   0.05808853,     -3.540211, , 
   0.05201352,     -3.680855, , 
   0.04625063,     -3.836018, , 
   0.04080431,     -4.007898, , 
   0.03567895,     -4.198976, , 
   0.03087892,     -4.411964, , 
   0.02640854,     -4.649621, , 
   0.02227211,     -4.914266, , 
   0.01847385,     -5.206474, , 
   0.01501799,     -5.523671, , 
   0.01190869,      -5.87559, , 
  0.009150091,     -6.348718, , 
  0.006746299,     -6.943647, , 
  0.004701381,      -7.28472, , 
   0.00301937,     -7.676566, , 
  0.001704272,     -8.003416, , 
 0.0007600553,     -8.151205, , 
 0.0001906617,     -8.006974, , 
            0,     -7.504276, , 
 0.0001906617,     -6.688432, , 
 0.0007600553,     -5.554767, , 
  0.001704272,     -4.242737, , 
   0.00301937,     -2.954635, , 
  0.004701381,     -1.841349, , 
  0.006746299,    -0.9634167, , 
  0.009150091,    -0.3131027, , 
   0.01190869,      0.148942, , 
   0.01501799,     0.4673962, , 
   0.01847385,     0.6815617, , 
   0.02227211,     0.8215482, , 
   0.02640854,     0.9097799, , 
   0.03087892,     0.9619298, , 
   0.03567895,     0.9892403, , 
   0.04080431,     0.9994153, , 
   0.04625063,     0.9979262, , 
   0.05201352,     0.9885521, , 
   0.05808853,     0.9739993, , 
   0.06447116,     0.9560754, , 
    0.0711569,     0.9361876, , 
   0.07814115,     0.9151648, , 
    0.0854193,     0.8937494, , 
   0.09298667,     0.8723218, , 
    0.1008386,     0.8512405, , 
    0.1089702,     0.8306889, , 
    0.1173767,     0.8108158, , 
    0.1260533,     0.7917002, , 
    0.1349949,      0.773389, , 
    0.1441967,     0.7559002, , 
    0.1536536,     0.7392321, , 
