S,c_l_1,c_l_8,c_l_14, , 
-3.999013,0.1286497,0.1957402,0.2469351, , 
-3.995067,0.1273632,0.2196143,0.2911848, , 
-3.987177,0.1373737,0.2510716,0.3397464, , 
-3.975353,0.1502657,0.2875777,0.395041, , 
-3.959606,0.1648795,0.3268231,0.4538566, , 
-3.939951,0.180479,0.3674449,0.5143413, , 
-3.916408,0.1965668,0.4085504,0.5752942, , 
-3.889,0.2127904,0.4495156,0.6358805, , 
-3.857754,0.2288927,0.4898871,0.6954938, , 
-3.8227,0.2446845,0.5293287,0.7536839, , 
-3.783875,0.260027,0.5675906,0.8101142, , 
-3.741315,0.2748208,0.6044895,0.8645362, , 
-3.695062,0.2889975,0.6398949,0.9167707, , 
-3.645163,0.3025136,0.6737189,0.9666949, , 
-3.591667,0.3153448,0.7059082,1.014233, , 
-3.534626,0.3274825,0.7364381,1.059346, , 
-3.474097,0.3389299,0.7653067,1.10203, , 
-3.41014,0.349699,0.7925307,1.142304, , 
-3.342817,0.3598082,0.8181414,1.180209, , 
-3.272195,0.3692807,0.8421817,1.215804, , 
-3.198344,0.3781423,0.8647031,1.249161, , 
-3.121337,0.3864208,0.8857634,1.28036, , 
-3.041249,0.3941447,0.9054244,1.30949, , 
-2.958159,0.4013425,0.9237507,1.336644, , 
-2.872151,0.4080425,0.9408082,1.361917, , 
-2.783308,0.4142723,0.9566627,1.385407, , 
-2.691718,0.4200582,0.971379,1.407207, , 
-2.597472,0.4254258,0.9850208,1.427412, , 
-2.500662,0.4303993,0.9976494,1.446112, , 
-2.401385,0.4350017,1.009324,1.463395, , 
-2.299737,0.4392546,1.0201,1.479345, , 
-2.19582,0.4431785,1.030031,1.49404, , 
-2.089736,0.4467924,1.039167,1.507556, , 
-1.98159,0.4501143,1.047555,1.519961, , 
-1.871488,0.4531606,1.055238,1.531322, , 
-1.75954,0.4559468,1.062258,1.541699, , 
-1.645854,0.458487,1.068651,1.551147, , 
-1.530545,0.4607943,1.074452,1.559718, , 
-1.413725,0.4628806,1.079692,1.567459, , 
-1.29551,0.4647567,1.0844,1.574413, , 
-1.176016,0.4664323,1.088602,1.580617, , 
-1.055362,0.4679162,1.09232,1.586106, , 
-0.9336663,0.4692163,1.095575,1.590912, , 
-0.8110491,0.4703392,1.098385,1.595059, , 
-0.6876316,0.471291,1.100765,1.598572, , 
-0.5635354,0.4720766,1.102729,1.60147, , 
-0.4388831,0.4727001,1.104288,1.60377, , 
-0.3137977,0.4731649,1.105449,1.605483, , 
-0.1884026,0.4734734,1.106219,1.60662, , 
-0.06282152,0.4736273,1.106604,1.607187, , 
0.06282152,0.4736273,1.106604,1.607187, , 
0.1884026,0.4734734,1.106219,1.60662, , 
0.3137977,0.4731649,1.105449,1.605483, , 
0.4388831,0.4727001,1.104288,1.60377, , 
0.5635354,0.4720766,1.102729,1.60147, , 
0.6876316,0.471291,1.100765,1.598572, , 
0.8110491,0.4703392,1.098385,1.595059, , 
0.9336663,0.4692163,1.095575,1.590912, , 
1.055362,0.4679162,1.09232,1.586106, , 
1.176016,0.4664323,1.088602,1.580617, , 
1.29551,0.4647567,1.0844,1.574413, , 
1.413725,0.4628806,1.079692,1.567459, , 
1.530545,0.4607943,1.074452,1.559718, , 
1.645854,0.458487,1.068651,1.551147, , 
1.75954,0.4559468,1.062258,1.541699, , 
1.871488,0.4531606,1.055238,1.531322, , 
1.98159,0.4501143,1.047555,1.519961, , 
2.089736,0.4467924,1.039167,1.507556, , 
2.19582,0.4431785,1.030031,1.49404, , 
2.299737,0.4392546,1.0201,1.479345, , 
2.401385,0.4350017,1.009324,1.463395, , 
2.500662,0.4303993,0.9976494,1.446112, , 
2.597472,0.4254258,0.9850208,1.427412, , 
2.691718,0.4200582,0.971379,1.407207, , 
2.783308,0.4142723,0.9566627,1.385407, , 
2.872151,0.4080425,0.9408082,1.361917, , 
2.958159,0.4013425,0.9237507,1.336644, , 
3.041249,0.3941447,0.9054244,1.30949, , 
3.121337,0.3864208,0.8857634,1.28036, , 
3.198344,0.3781423,0.8647031,1.249161, , 
3.272195,0.3692807,0.8421817,1.215804, , 
3.342817,0.3598082,0.8181414,1.180209, , 
3.41014,0.349699,0.7925307,1.142304, , 
3.474097,0.3389299,0.7653067,1.10203, , 
3.534626,0.3274825,0.7364381,1.059346, , 
3.591667,0.3153448,0.7059082,1.014233, , 
3.645163,0.3025136,0.6737189,0.9666949, , 
3.695062,0.2889975,0.6398949,0.9167707, , 
3.741315,0.2748208,0.6044895,0.8645362, , 
3.783875,0.260027,0.5675906,0.8101142, , 
3.8227,0.2446845,0.5293287,0.7536839, , 
3.857754,0.2288927,0.4898871,0.6954938, , 
3.889,0.2127904,0.4495156,0.6358805, , 
3.916408,0.1965668,0.4085504,0.5752942, , 
3.939951,0.180479,0.3674449,0.5143413, , 
3.959606,0.1648795,0.3268231,0.4538566, , 
3.975353,0.1502657,0.2875777,0.395041, , 
3.987177,0.1373737,0.2510716,0.3397464, , 
3.995067,0.1273632,0.2196143,0.2911848, , 
3.999013,0.1286497,0.1957402,0.2469351, , 
