X,c_p_1,c_p_8,c_p_14
0.01,-2.13E-01,-2.63E+00,-4.71E+00
0.02,-2.72E-01,-1.97E+00,-3.43E+00
0.03,-2.69E-01,-1.65E+00,-2.84E+00
0.04,-2.91E-01,-1.48E+00,-2.50E+00
0.05,-2.62E-01,-1.32E+00,-2.23E+00
0.06,-2.93E-01,-1.25E+00,-2.08E+00
0.07,-2.90E-01,-1.18E+00,-1.93E+00
0.08,-2.86E-01,-1.11E+00,-1.82E+00
0.09,-3.08E-01,-1.08E+00,-1.74E+00
0.10,-3.20E-01,-1.05E+00,-1.67E+00
0.11,-3.16E-01,-1.01E+00,-1.60E+00
0.12,-3.21E-01,-9.79E-01,-1.54E+00
0.13,-3.37E-01,-9.66E-01,-1.50E+00
0.14,-3.45E-01,-9.47E-01,-1.46E+00
0.15,-3.43E-01,-9.21E-01,-1.42E+00
0.16,-3.42E-01,-8.99E-01,-1.38E+00
0.17,-3.50E-01,-8.87E-01,-1.35E+00
0.18,-3.60E-01,-8.79E-01,-1.32E+00
0.19,-3.64E-01,-8.65E-01,-1.30E+00
0.20,-3.63E-01,-8.48E-01,-1.26E+00
0.21,-3.63E-01,-8.34E-01,-1.24E+00
0.22,-3.69E-01,-8.26E-01,-1.22E+00
0.23,-3.75E-01,-8.20E-01,-1.20E+00
0.24,-3.79E-01,-8.11E-01,-1.18E+00
0.25,-3.79E-01,-8.00E-01,-1.16E+00
0.26,-3.80E-01,-7.89E-01,-1.14E+00
0.27,-3.81E-01,-7.80E-01,-1.12E+00
0.28,-3.82E-01,-7.71E-01,-1.10E+00
0.29,-3.81E-01,-7.60E-01,-1.09E+00
0.30,-3.77E-01,-7.48E-01,-1.07E+00
0.31,-3.76E-01,-7.38E-01,-1.05E+00
0.32,-3.78E-01,-7.31E-01,-1.03E+00
0.33,-3.82E-01,-7.28E-01,-1.02E+00
0.34,-3.84E-01,-7.22E-01,-1.01E+00
0.35,-3.82E-01,-7.12E-01,-9.96E-01
0.36,-3.75E-01,-6.98E-01,-9.75E-01
0.37,-3.67E-01,-6.83E-01,-9.54E-01
0.38,-3.61E-01,-6.70E-01,-9.36E-01
0.39,-3.57E-01,-6.60E-01,-9.20E-01
0.40,-3.55E-01,-6.52E-01,-9.06E-01
0.41,-3.51E-01,-6.41E-01,-8.91E-01
0.42,-3.45E-01,-6.30E-01,-8.74E-01
0.43,-3.39E-01,-6.18E-01,-8.57E-01
0.44,-3.34E-01,-6.07E-01,-8.41E-01
0.45,-3.32E-01,-5.99E-01,-8.29E-01
0.46,-3.30E-01,-5.93E-01,-8.17E-01
0.47,-3.28E-01,-5.85E-01,-8.06E-01
0.48,-3.25E-01,-5.77E-01,-7.92E-01
0.49,-3.21E-01,-5.68E-01,-7.79E-01
0.51,-3.18E-01,-5.59E-01,-7.67E-01
0.52,-3.16E-01,-5.53E-01,-7.56E-01
0.53,-3.14E-01,-5.46E-01,-7.46E-01
0.54,-3.12E-01,-5.39E-01,-7.34E-01
0.55,-3.08E-01,-5.31E-01,-7.22E-01
0.56,-3.05E-01,-5.23E-01,-7.11E-01
0.57,-3.03E-01,-5.17E-01,-7.00E-01
0.58,-3.01E-01,-5.11E-01,-6.91E-01
0.59,-3.00E-01,-5.05E-01,-6.81E-01
0.60,-2.96E-01,-4.97E-01,-6.70E-01
0.61,-2.91E-01,-4.88E-01,-6.57E-01
0.62,-2.86E-01,-4.78E-01,-6.44E-01
0.63,-2.83E-01,-4.71E-01,-6.33E-01
0.64,-2.83E-01,-4.67E-01,-6.26E-01
0.65,-2.83E-01,-4.64E-01,-6.19E-01
0.66,-2.82E-01,-4.58E-01,-6.10E-01
0.67,-2.77E-01,-4.49E-01,-5.97E-01
0.68,-2.70E-01,-4.39E-01,-5.83E-01
0.69,-2.64E-01,-4.29E-01,-5.70E-01
0.70,-2.61E-01,-4.22E-01,-5.60E-01
0.71,-2.59E-01,-4.16E-01,-5.51E-01
0.72,-2.57E-01,-4.10E-01,-5.42E-01
0.73,-2.53E-01,-4.03E-01,-5.31E-01
0.74,-2.49E-01,-3.95E-01,-5.20E-01
0.75,-2.46E-01,-3.88E-01,-5.10E-01
0.76,-2.42E-01,-3.81E-01,-4.99E-01
0.77,-2.37E-01,-3.71E-01,-4.86E-01
0.78,-2.29E-01,-3.60E-01,-4.72E-01
0.79,-2.24E-01,-3.51E-01,-4.60E-01
0.80,-2.23E-01,-3.46E-01,-4.51E-01
0.81,-2.22E-01,-3.41E-01,-4.43E-01
0.82,-2.16E-01,-3.31E-01,-4.30E-01
0.83,-2.05E-01,-3.16E-01,-4.11E-01
0.84,-1.96E-01,-3.04E-01,-3.96E-01
0.85,-1.97E-01,-3.00E-01,-3.88E-01
0.86,-1.97E-01,-2.96E-01,-3.81E-01
0.87,-1.86E-01,-2.81E-01,-3.62E-01
0.88,-1.68E-01,-2.59E-01,-3.37E-01
0.89,-1.63E-01,-2.50E-01,-3.24E-01
0.90,-1.67E-01,-2.49E-01,-3.20E-01
0.91,-1.56E-01,-2.33E-01,-2.99E-01
0.92,-1.35E-01,-2.08E-01,-2.70E-01
0.93,-1.43E-01,-2.10E-01,-2.68E-01
0.94,-1.48E-01,-2.11E-01,-2.64E-01
0.95,-1.09E-01,-1.66E-01,-2.14E-01
0.96,-1.11E-01,-1.61E-01,-2.04E-01
0.97,-9.01E-02,-1.33E-01,-1.70E-01
0.98,-8.15E-02,-1.17E-01,-1.47E-01
0.99,1.61E-03,-2.31E-02,-4.42E-02
0.99,1.61E-03,,
